id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	$\alpha{-}cells$|$\alpha{-}cells$	$\alpha{-}cells$|$\beta{-}cells$	$\alpha{-}cells$|$\delta{-}cells$	$\alpha{-}cells$|Acinar cells	$\alpha{-}cells$|Ductal cells	$\alpha{-}cells$|PP cells	$\alpha{-}cells$|Stellate cells	$\beta{-}cells$|$\alpha{-}cells$	$\beta{-}cells$|$\beta{-}cells$	$\beta{-}cells$|$\delta{-}cells$	$\beta{-}cells$|Acinar cells	$\beta{-}cells$|Ductal cells	$\beta{-}cells$|PP cells	$\beta{-}cells$|Stellate cells	$\delta{-}cells$|$\alpha{-}cells$	$\delta{-}cells$|$\beta{-}cells$	$\delta{-}cells$|$\delta{-}cells$	$\delta{-}cells$|Acinar cells	$\delta{-}cells$|Ductal cells	$\delta{-}cells$|PP cells	$\delta{-}cells$|Stellate cells	Acinar cells|$\alpha{-}cells$	Acinar cells|$\beta{-}cells$	Acinar cells|$\delta{-}cells$	Acinar cells|Acinar cells	Acinar cells|Ductal cells	Acinar cells|PP cells	Acinar cells|Stellate cells	Ductal cells|$\alpha{-}cells$	Ductal cells|$\beta{-}cells$	Ductal cells|$\delta{-}cells$	Ductal cells|Acinar cells	Ductal cells|Ductal cells	Ductal cells|PP cells	Ductal cells|Stellate cells	PP cells|$\alpha{-}cells$	PP cells|$\beta{-}cells$	PP cells|$\delta{-}cells$	PP cells|Acinar cells	PP cells|Ductal cells	PP cells|PP cells	PP cells|Stellate cells	Stellate cells|$\alpha{-}cells$	Stellate cells|$\beta{-}cells$	Stellate cells|$\delta{-}cells$	Stellate cells|Acinar cells	Stellate cells|Ductal cells	Stellate cells|PP cells	Stellate cells|Stellate cells
CPI-SS0CB4F2FE4	PDGFB_ADGRV1	simple:P01127	simple:Q8WXG9	ENSG00000100311	ENSG00000164199	True	False	True	InnateDB-All	False	1.0	0.102	0.0	0.739	1.0	0.0	0.958	1.0	0.342	0.0	0.91	1.0	0.0	0.979	0.979	0.282	0.0	0.829	0.97	0.0	0.958	0.021	0.0	0.0	0.051	0.475	0.0	0.345	0.94	0.102	0.0	0.748	0.928	0.0	0.958	1.0	0.483	0.0	0.829	1.0	0.0	0.979	0.0	0.0	0.0	0.0	0.231	0.0	0.192
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	ENSG00000110492	ENSG00000106278	True	False	False	curated	False	0.0	0.0	0.0	0.03	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.141	0.141	0.162	0.081	0.132	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS012AFC842	MDK_ALK	simple:P21741	simple:Q9UM73	ENSG00000110492	ENSG00000171094	True	False	True	curated	False	0.0	0.0	0.0	0.03	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.081	0.021	0.111	0.111	0.081	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0D782F60B	WNT4_FZD8	simple:P56705	simple:Q9H461	ENSG00000162552	ENSG00000177283	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.979	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.141	0.141	0.111	0.111	0.141	0.141	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0B2D5BA95	WNT5A_FZD1	simple:P41221	simple:Q9UP38	ENSG00000114251	ENSG00000157240	True	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.132	1.0	1.0	1.0	1.0	1.0	1.0	0.27	1.0	1.0	1.0	1.0	1.0	1.0	0.141	1.0	1.0	1.0	1.0	1.0	1.0	0.171	1.0	1.0	1.0	1.0	1.0	1.0	0.171	1.0	1.0	1.0	1.0	1.0	1.0	0.0
CPI-SS0CA020C34	WNT4_FZD1	simple:P56705	simple:Q9UP38	ENSG00000162552	ENSG00000157240	True	False	True	I2D	False	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.958	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0E7523314	WNT3_FZD1	simple:P56703	simple:Q9UP38	ENSG00000108379	ENSG00000157240	True	False	True	I2D	False	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
CPI-SS01C2BA5C8	WNT5A_FZD2	simple:P41221	simple:Q14332	ENSG00000114251	ENSG00000180340	True	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0E32BEF02	WNT5A_FZD5	simple:P41221	simple:Q13467	ENSG00000114251	ENSG00000163251	True	False	True	curated	False	1.0	1.0	0.889	0.0	0.372	0.0	1.0	1.0	1.0	1.0	0.0	0.594	0.03	1.0	0.85	1.0	0.829	0.0	0.433	0.09	1.0	0.615	1.0	0.637	0.0	0.453	0.051	1.0	0.94	1.0	0.889	0.0	0.462	0.06	1.0	0.97	1.0	0.97	0.0	0.603	0.03	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
CPI-SS0C56C483F	WNT5A_ANTXR1	simple:P41221	simple:Q9H6X2	ENSG00000114251	ENSG00000169604	True	False	True	InnateDB-All	False	1.0	1.0	1.0	1.0	0.666	1.0	0.0	1.0	1.0	1.0	1.0	0.828	1.0	0.0	1.0	0.94	0.88	0.88	0.76	0.97	0.0	0.876	0.705	0.739	0.675	0.414	0.898	0.0	1.0	1.0	0.94	1.0	0.717	1.0	0.0	1.0	1.0	1.0	1.0	0.756	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0331C5A49	GDF11_ANTXR1	simple:O95390	simple:Q9H6X2	ENSG00000135414	ENSG00000169604	True	False	True	InnateDB-All	False	1.0	0.97	0.97	1.0	0.303	1.0	0.0	0.979	0.646	0.727	0.787	0.162	0.829	0.0	0.516	0.273	0.457	0.453	0.111	0.576	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.589	1.0	0.0	0.97	0.727	0.799	0.838	0.294	0.838	0.0	0.09	0.03	0.082	0.12	0.03	0.15	0.0
CPI-SS0E7CBFD03	WNT5A_ROR2	simple:P41221	simple:Q01974	ENSG00000114251	ENSG00000169071	True	False	True	I2D	False	1.0	1.0	0.0	1.0	1.0	0.09	0.132	1.0	1.0	0.141	1.0	1.0	0.282	0.487	0.91	0.85	0.21	1.0	0.97	0.291	0.355	0.705	0.615	0.12	1.0	0.808	0.282	0.333	1.0	0.97	0.15	1.0	0.97	0.291	0.342	1.0	1.0	0.141	1.0	1.0	0.342	0.453	0.0	0.0	0.0	1.0	0.0	0.0	0.0
CPI-SS002673EFE	WNT5A_FZD3	simple:P41221	simple:Q9NPG1	ENSG00000114251	ENSG00000104290	True	False	True	curated	False	0.7	1.0	0.022	0.88	1.0	0.03	0.979	0.85	1.0	0.073	0.88	1.0	0.0	0.979	0.649	1.0	0.112	0.88	1.0	0.03	0.979	0.444	1.0	0.111	0.777	1.0	0.0	0.838	0.598	1.0	0.142	0.91	1.0	0.0	0.979	0.777	1.0	0.073	0.94	1.0	0.03	0.979	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS073F3FAD5	WNT5A_ROR1	simple:P41221	simple:Q01973	ENSG00000114251	ENSG00000185483	True	False	True	IMEx	False	0.739	0.411	1.0	1.0	1.0	0.748	0.649	0.97	0.516	1.0	1.0	1.0	0.919	0.79	0.739	0.534	1.0	1.0	1.0	0.757	0.619	0.495	0.423	1.0	1.0	0.97	0.706	0.619	0.748	0.534	1.0	1.0	1.0	0.769	0.79	0.898	0.624	1.0	1.0	1.0	0.838	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0AD0ED887	TNFRSF11B_TNFSF10	simple:O00300	simple:P50591	ENSG00000164761	ENSG00000121858	True	False	False	curated	False	0.414	1.0	0.888	0.03	0.0	1.0	1.0	0.285	1.0	0.888	0.0	0.0	1.0	1.0	0.0	1.0	0.414	0.0	0.0	0.889	0.868	0.363	1.0	0.876	0.03	0.0	1.0	1.0	0.0	1.0	0.042	0.0	0.0	0.24	0.265	0.0	1.0	0.021	0.0	0.0	0.171	0.244	0.654	1.0	0.94	0.03	0.0	1.0	1.0
CPI-SS0898D7F7F	TNFRSF10B_TNFSF10	simple:O14763	simple:P50591	ENSG00000120889	ENSG00000121858	True	True	False	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.123	0.0	0.0	0.606	0.556	0.0	1.0	0.051	0.0	0.0	0.261	0.274	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.303	0.0	0.0	0.889	0.808
CPI-SS01ECFDA18	TNFRSF10C_TNFSF10	simple:O14798	simple:P50591	ENSG00000173535	ENSG00000121858	True	True	False	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0E0BCE16F	FGFR1_FGF5	simple:P11362	simple:P12034	ENSG00000077782	ENSG00000138675	True	True	False	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.949	0.949	0.949	0.949	0.949	0.949	0.919
CPI-SS039799099	FGFR1_NCAM1	simple:P11362	simple:P13591	ENSG00000077782	ENSG00000149294	True	True	True	curated	False	0.0	0.315	0.0	1.0	0.141	0.919	1.0	1.0	1.0	0.384	1.0	1.0	1.0	1.0	0.0	0.021	0.0	0.808	0.021	0.394	0.757	0.09	0.201	0.0	0.85	0.12	0.394	0.795	1.0	1.0	0.777	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.889	0.97	0.081	1.0	0.868	1.0	1.0
CPI-SS07833475A	FGFR1_FGF7	simple:P11362	simple:P21781	ENSG00000077782	ENSG00000140285	True	True	False	I2D	False	0.0	0.0	0.0	0.0	0.0	0.03	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.021	0.021	0.021	0.021	0.021	0.021	0.021	0.12	0.12	0.15	0.09	0.12	0.12	0.09	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.949	0.949	0.949	0.949	0.949	0.949	0.919
CPI-SS038E93B77	FGFR1_FGF9	simple:P11362	simple:P31371	ENSG00000077782	ENSG00000102678	True	True	False	I2D,InnateDB-All	False	0.111	0.0	0.492	0.454	0.222	0.03	0.231	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.021	0.0	0.021	0.021	0.021	0.021	0.021	0.15	0.09	0.18	0.15	0.09	0.12	0.15	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.949	0.838	1.0	1.0	0.97	0.949	0.979
CPI-SS0907A7598	FGFR2_FGF9	simple:P21802	simple:P31371	ENSG00000066468	ENSG00000102678	True	True	False	I2D,InnateDB-All	False	1.0	0.0	1.0	1.0	0.829	0.739	0.868	1.0	0.0	1.0	1.0	0.88	0.688	0.91	1.0	0.0	1.0	1.0	0.829	0.697	0.868	1.0	0.0	1.0	1.0	0.799	0.748	0.889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.889	0.709	0.88	1.0	0.03	1.0	1.0	0.82	0.769	0.94
CPI-SS07A9A501C	FGFR3_FGF9	simple:P22607	simple:P31371	ENSG00000068078	ENSG00000102678	True	True	False	I2D,InnateDB-All	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.171	0.252	0.021	0.03	0.081	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0BF490275	FGFR1_KL	simple:P11362	simple:Q9UEF7	ENSG00000077782	ENSG00000133116	True	True	False	I2D	False	0.0	0.709	0.829	1.0	0.765	0.0	0.808	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.021	0.132	1.0	0.102	0.0	0.081	0.09	0.201	0.231	1.0	0.231	0.06	0.321	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.889	1.0	1.0	1.0	1.0	0.727	0.979
CPI-SS06A0B20BD	FGFR2_EPHA4	simple:P21802	simple:P54764	ENSG00000066468	ENSG00000116106	True	True	True	I2D,InnateDB-All	False	0.022	1.0	0.504	1.0	1.0	1.0	1.0	0.0	1.0	0.423	1.0	1.0	1.0	0.97	0.06	1.0	0.453	1.0	1.0	0.97	0.919	0.283	1.0	0.513	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.141	1.0	0.465	1.0	1.0	1.0	1.0	0.184	1.0	0.616	1.0	1.0	1.0	0.949
CPI-SS0EBFE1854	EFNA1_EPHA4	simple:P20827	simple:P54764	ENSG00000169242	ENSG00000116106	True	False	True	curated	False	0.12	0.897	0.513	1.0	0.957	0.927	0.919	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.232	0.526	0.313	1.0	0.526	0.547	0.547	0.0	0.0	0.0	1.0	0.0	0.0	0.0
CPI-SS05B4EB419	EFNA3_EPHA4	simple:P52797	simple:P54764	ENSG00000143590	ENSG00000116106	False	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	ENSG00000184349	ENSG00000116106	False	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.03	0.0	1.0	0.06	0.03	0.021	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	ENSG00000125266	ENSG00000116106	False	True	True	curated	False	0.0	1.0	0.483	1.0	1.0	1.0	0.949	0.394	1.0	0.769	1.0	1.0	1.0	1.0	0.376	1.0	0.709	1.0	1.0	1.0	0.97	0.355	1.0	0.658	1.0	0.97	1.0	0.889	0.081	0.615	0.201	1.0	0.594	0.687	0.577	0.214	1.0	0.534	1.0	0.979	0.949	0.889	0.0	0.0	0.0	1.0	0.0	0.0	0.0
CPI-SS0D1AE5C79	FGFR3_EPHA4	simple:P22607	simple:P54764	ENSG00000068078	ENSG00000116106	True	True	True	I2D,InnateDB-All	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.06	0.111	0.072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS00D9A0644	FGFR2_CD83	simple:P21802	simple:Q01151	ENSG00000066468	ENSG00000112149	True	True	True	InnateDB-All	False	1.0	1.0	1.0	1.0	1.0	0.201	1.0	1.0	1.0	1.0	1.0	1.0	0.222	1.0	1.0	1.0	1.0	1.0	1.0	0.12	1.0	1.0	1.0	1.0	1.0	1.0	0.21	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.261	1.0	1.0	1.0	1.0	1.0	1.0	0.222	1.0
CPI-SS02E314589	FGFR2_NECTIN1	simple:P21802	simple:Q15223	ENSG00000066468	ENSG00000110400	True	True	True	InnateDB-All	False	0.111	0.919	0.204	0.919	0.97	0.94	1.0	0.042	0.91	0.183	0.919	0.97	0.919	0.97	0.231	0.898	0.204	0.919	1.0	0.846	0.97	0.261	0.919	0.316	0.949	0.97	0.949	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222	0.829	0.213	0.919	0.97	0.867	0.97	0.325	0.889	0.265	0.97	1.0	0.859	0.97
CPI-SS02C29C238	FGFR3_NECTIN1	simple:P22607	simple:Q15223	ENSG00000068078	ENSG00000110400	True	True	True	InnateDB-All	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.475	0.381	0.0	0.321	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS03F821467	CD96_NECTIN1	simple:P40200	simple:Q15223	ENSG00000153283	ENSG00000110400	True	True	True	curated	False	0.0	0.748	0.132	0.919	0.97	0.756	0.91	0.0	0.748	0.132	0.919	0.97	0.756	0.91	0.0	0.748	0.132	0.919	0.97	0.756	0.91	0.0	0.748	0.132	0.919	0.97	0.756	0.91	0.0	0.778	0.153	0.919	0.97	0.756	0.91	0.0	0.748	0.132	0.919	0.97	0.756	0.91	0.0	0.748	0.132	0.919	0.97	0.756	0.94
CPI-SS0CC898553	FGFR2_PTPRR	simple:P21802	simple:Q15256	ENSG00000066468	ENSG00000153233	True	True	True	InnateDB-All	False	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.949	0.97	1.0	0.97	0.97	0.0	1.0	0.97	1.0	1.0	0.94	1.0	0.0	1.0	0.949	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.859	0.918	1.0	0.91	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
CPI-SS098F416C1	FGFR2_XPR1	simple:P21802	simple:Q9UBH6	ENSG00000066468	ENSG00000143324	True	True	True	InnateDB-All	False	1.0	0.0	1.0	0.021	0.388	0.06	1.0	1.0	0.0	1.0	0.051	0.388	0.03	1.0	1.0	0.0	1.0	0.051	0.397	0.03	1.0	1.0	0.0	1.0	0.021	0.487	0.082	1.0	0.0	0.0	0.243	0.0	0.0	0.0	0.201	1.0	0.0	1.0	0.021	0.367	0.03	1.0	1.0	0.0	1.0	0.051	0.388	0.082	1.0
CPI-SS01469637C	WNT2B_FZD4	simple:Q93097	simple:Q9ULV1	ENSG00000134245	ENSG00000174804	True	False	True	curated	False	0.03	0.0	0.222	0.292	0.183	0.03	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.555	0.243	0.453	0.616	0.486	0.234	0.0	0.97	0.748	0.94	0.97	0.91	0.675	0.0	0.928	0.454	0.778	0.868	0.748	0.505	0.0	1.0	0.91	0.97	1.0	0.948	0.927	0.0	0.654	0.402	0.615	0.817	0.675	0.432	0.0
CPI-SS0423580E5	DLL1_NOTCH2	simple:O00548	simple:Q04721	ENSG00000198719	ENSG00000134250	False	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	ENSG00000101384	ENSG00000134250	False	False	True	curated	False	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0
CPI-SS0E1A8414D	DLK1_NOTCH2	simple:P80370	simple:Q04721	ENSG00000185559	ENSG00000134250	False	False	True	curated	False	1.0	1.0	1.0	0.321	0.0	1.0	0.081	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0FB5FE587	DLL1_NOTCH4	simple:O00548	simple:Q99466	ENSG00000198719	ENSG00000204301	False	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.141	0.141	0.111	1.0	0.171	0.291	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.06	0.06	0.06	1.0	0.081	0.09	0.0	0.06	0.09	0.06	1.0	0.222	0.192	0.0
CPI-SS0837E9F59	JAG1_NOTCH4	simple:P78504	simple:Q99466	ENSG00000101384	ENSG00000204301	False	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.97	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.03	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.619	0.649	0.508	1.0	0.483	0.658	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
CPI-SS0D37C7C70	DLK1_NOTCH4	simple:P80370	simple:Q99466	ENSG00000185559	ENSG00000204301	False	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	0.321	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS047232C64	DLL1_NOTCH3	simple:O00548	simple:Q9UM47	ENSG00000198719	ENSG00000074181	False	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	ENSG00000101384	ENSG00000074181	False	False	True	curated	False	1.0	1.0	1.0	1.0	0.312	1.0	0.0	1.0	1.0	1.0	1.0	0.402	1.0	0.0	1.0	1.0	1.0	1.0	0.466	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.111	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	ENSG00000185559	ENSG00000074181	False	False	True	curated	False	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0938C6980	DLL4_NOTCH3	simple:Q9NR61	simple:Q9UM47	ENSG00000128917	ENSG00000074181	False	False	True	curated	False	1.0	1.0	1.0	1.0	0.12	1.0	0.0	1.0	1.0	1.0	1.0	0.21	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.03	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
CPI-SS0CCCF7C69	PLXNB1_SEMA4D	simple:O43157	simple:Q92854	ENSG00000164050	ENSG00000187764	True	True	True	curated	False	1.0	0.0	0.111	0.769	0.487	0.042	0.231	1.0	0.243	0.526	1.0	0.97	0.285	0.97	0.111	0.0	0.0	0.12	0.021	0.0	0.0	0.658	0.03	0.09	0.435	0.244	0.0	0.09	0.643	0.0	0.06	0.364	0.193	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.415	0.436	0.979	0.85	0.307	0.757
