id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	$\alpha{-}cells$|$\alpha{-}cells$	$\alpha{-}cells$|$\beta{-}cells$	$\alpha{-}cells$|$\delta{-}cells$	$\alpha{-}cells$|Acinar cells	$\alpha{-}cells$|Ductal cells	$\alpha{-}cells$|PP cells	$\alpha{-}cells$|Stellate cells	$\beta{-}cells$|$\alpha{-}cells$	$\beta{-}cells$|$\beta{-}cells$	$\beta{-}cells$|$\delta{-}cells$	$\beta{-}cells$|Acinar cells	$\beta{-}cells$|Ductal cells	$\beta{-}cells$|PP cells	$\beta{-}cells$|Stellate cells	$\delta{-}cells$|$\alpha{-}cells$	$\delta{-}cells$|$\beta{-}cells$	$\delta{-}cells$|$\delta{-}cells$	$\delta{-}cells$|Acinar cells	$\delta{-}cells$|Ductal cells	$\delta{-}cells$|PP cells	$\delta{-}cells$|Stellate cells	Acinar cells|$\alpha{-}cells$	Acinar cells|$\beta{-}cells$	Acinar cells|$\delta{-}cells$	Acinar cells|Acinar cells	Acinar cells|Ductal cells	Acinar cells|PP cells	Acinar cells|Stellate cells	Ductal cells|$\alpha{-}cells$	Ductal cells|$\beta{-}cells$	Ductal cells|$\delta{-}cells$	Ductal cells|Acinar cells	Ductal cells|Ductal cells	Ductal cells|PP cells	Ductal cells|Stellate cells	PP cells|$\alpha{-}cells$	PP cells|$\beta{-}cells$	PP cells|$\delta{-}cells$	PP cells|Acinar cells	PP cells|Ductal cells	PP cells|PP cells	PP cells|Stellate cells	Stellate cells|$\alpha{-}cells$	Stellate cells|$\beta{-}cells$	Stellate cells|$\delta{-}cells$	Stellate cells|Acinar cells	Stellate cells|Ductal cells	Stellate cells|PP cells	Stellate cells|Stellate cells
CPI-CS073D36B1D	FLT1 complex_PGF	complex:FLT1 complex	simple:P49763		ENSG00000119630	True	True	False	curated	False	0.122							0.001							0.001							0.001														0.001							0.001							0.004
CPI-SS0E41702C1	IGF1_IGF1R	simple:P05019	simple:P08069	ENSG00000017427	ENSG00000140443	True	False	True	curated	False	0.122		0.011							0.011							0.011														0.011							0.011							0.011					
CPI-CS0F6CFB979	BMPR1A_BMPR2_BMP6	complex:BMPR1A_BMPR2	simple:P22004		ENSG00000153162	True	True	False	curated	False	0.122							0.003							0.002							0.002														0.002							0.003							0.003
CPI-SC05B6D413B	COL9A1_a1b1 complex	simple:P20849	complex:a1b1 complex	ENSG00000112280		True	False	False	curated	True	0.122							0.012							0.012							0.012														0.012							0.012							0.012
CPI-SC0BC63F8C0	COL3A1_a1b1 complex	simple:P02461	complex:a1b1 complex	ENSG00000168542		True	False	False	curated	True	0.143																																											0.021	0.02	0.019	0.02	0.02	0.021	0.031
CPI-SC08B1D5269	COL5A3_a10b1 complex	simple:P25940	complex:a10b1 complex	ENSG00000080573		True	False	False	curated	True	0.143																																											0.002	0.002	0.002	0.002	0.002	0.002	0.002
CPI-SS0AFC7BACF	ADGRG5_FAM3C	simple:Q8IZF4	simple:Q92520	ENSG00000159618	ENSG00000196937	True	True	False	InnateDB-All	False	0.143	0.003	0.003	0.003	0.003	0.003	0.003	0.003																																										
CPI-SC07375C073	COL6A3_a10b1 complex	simple:P12111	complex:a10b1 complex	ENSG00000163359		True	False	False	curated	True	0.143																																											0.015	0.015	0.015	0.015	0.015	0.015	0.016
CPI-SS0528A694B	GPR42_FAM3C	simple:O15529	simple:Q92520	ENSG00000126251	ENSG00000196937	True	True	False	IMEx,IntAct	False	0.143		0.001							0.001			0.001				0.001														0.001							0.001			0.001									
CPI-SC011F01833	COL1A2_a10b1 complex	simple:P08123	complex:a10b1 complex	ENSG00000164692		True	False	False	curated	True	0.143																																											0.022	0.022	0.022	0.022	0.022	0.022	0.022
CPI-SS0EBA5A4D8	VEGFD_KDR	simple:O43915	simple:P35968	ENSG00000165197	ENSG00000128052	True	False	True	curated	False	0.143							0.003							0.003							0.003							0.003							0.003							0.003							0.003
CPI-SC041DEF0FB	COL5A1_a10b1 complex	simple:P20908	complex:a10b1 complex	ENSG00000130635		True	False	False	curated	True	0.143																																											0.008	0.008	0.008	0.008	0.008	0.008	0.008
CPI-SS0FB5FE587	DLL1_NOTCH4	simple:O00548	simple:Q99466	ENSG00000198719	ENSG00000204301	False	False	True	curated	False	0.143																												0.002															0.001	0.001	0.001		0.001	0.001	0.002
CPI-SC0ED0520DD	LAMA3_a3b1 complex	simple:Q16787	complex:a3b1 complex	ENSG00000053747		True	False	False	curated	True	0.143																													0.003	0.003	0.003	0.006	0.006	0.003	0.003														
CPI-SC0F8101D41	COL8A1_a10b1 complex	simple:P27658	complex:a10b1 complex	ENSG00000144810		True	False	False	curated	True	0.143																																											0.005	0.005	0.005	0.005	0.005	0.005	0.006
CPI-SC0EFCE145F	OMD_aVb3 complex	simple:Q99983	complex:aVb3 complex	ENSG00000127083		True	False	False	curated	True	0.143							0.002							0.001							0.002							0.001							0.002							0.002							0.002
CPI-SS03F821467	CD96_NECTIN1	simple:P40200	simple:Q15223	ENSG00000153283	ENSG00000110400	True	True	True	curated	False	0.143						0.001							0.001							0.001							0.001							0.001							0.001							0.001	
CPI-SS0C4E86714	TNFRSF1B_GRN	simple:P20333	simple:P28799	ENSG00000028137	ENSG00000030582	True	True	False	IMEx,InnateDB-All,MINT	False	0.143	0.007							0.007							0.008							0.007							0.007							0.007							0.008						
CPI-SC08E75294D	COL15A1_a10b1 complex	simple:P39059	complex:a10b1 complex	ENSG00000204291		True	False	False	curated	True	0.143																																											0.012	0.012	0.012	0.012	0.012	0.012	0.013
CPI-SS0649EA05F	FGFR4_FGF9	simple:P22455	simple:P31371	ENSG00000160867	ENSG00000102678	True	True	False	I2D	False	0.143		0.002							0.001																				0.002	0.003	0.002		0.002	0.002															
CPI-SC0EC380922	F2_aVb3 complex	simple:P00734	complex:aVb3 complex	ENSG00000180210		True	False	False	curated	True	0.143							0.001							0.001							0.001							0.001							0.001							0.001							0.001
CPI-SC008F4294F	COL7A1_a10b1 complex	simple:Q02388	complex:a10b1 complex	ENSG00000114270		True	False	False	curated	True	0.143																																											0.002	0.002	0.002	0.002	0.002	0.002	0.003
CPI-SC0F300DE24	COL12A1_a2b1 complex	simple:Q99715	complex:a2b1 complex	ENSG00000111799		True	False	False	curated	True	0.143																																											0.004	0.004	0.004	0.009	0.01	0.005	0.008
CPI-SC015980AEB	COL14A1_a10b1 complex	simple:Q05707	complex:a10b1 complex	ENSG00000187955		True	False	False	curated	True	0.143																																											0.001	0.001	0.001	0.001	0.001	0.001	0.001
CPI-SS073F3FAD5	WNT5A_ROR1	simple:P41221	simple:Q01973	ENSG00000114251	ENSG00000185483	True	False	True	IMEx	False	0.143																																											0.01	0.01	0.009	0.009	0.009	0.009	0.009
CPI-SC0FC645961	COL5A3_a2b1 complex	simple:P25940	complex:a2b1 complex	ENSG00000080573		True	False	False	curated	True	0.143																																											0.003	0.002	0.002	0.007	0.009	0.003	0.006
CPI-SC0C9CBDD21	COL27A1_a10b1 complex	simple:Q8IZC6	complex:a10b1 complex	ENSG00000196739		True	False	False	curated	True	0.143	0.003	0.003	0.003	0.003	0.003	0.004	0.004																																										
CPI-SS0E25CE362	EGFR_TGFA	simple:P00533	simple:P01135	ENSG00000146648	ENSG00000163235	True	True	False	curated	False	0.143																			0.004						0.004	0.007						0.004	0.007							0.004							0.004		
CPI-SC0F516B854	COL5A2_a10b1 complex	simple:P05997	complex:a10b1 complex	ENSG00000204262		True	False	False	curated	True	0.143																																											0.009	0.009	0.009	0.009	0.009	0.009	0.009
CPI-SC062D34C2A	VCAM1_a9b1 complex	simple:P19320	complex:a9b1 complex	ENSG00000162692		False	False	False	curated	True	0.143																													0.005	0.005	0.005	0.005	0.005	0.005	0.005														
CPI-SS095E52E66	TNFSF10_TNFRSF10D	simple:P50591	simple:Q9UBN6	ENSG00000121858	ENSG00000173530	True	False	True	curated	False	0.143					0.005		0.004												0.004							0.006		0.006					0.012		0.011														
CPI-SS02B567BC7	PLXNC1_SEMA7A	simple:O60486	simple:O75326	ENSG00000136040	ENSG00000138623	False	True	False	curated	False	0.143					0.002							0.002		0.002					0.003		0.003																			0.003		0.002							
CPI-SS065F7DA2A	COPA_P2RY6	simple:P53621	simple:Q15077	ENSG00000122218	ENSG00000171631	True	False	True	IMEx,IntAct	False	0.143							0.007																					0.008							0.008	0.007						0.008	0.008						0.009
CPI-SS00EC753E6	GLP2R_GCG	simple:O95838	simple:P01275	ENSG00000065325	ENSG00000115263	True	True	False	guidetopharmacology.org	False	0.143	0.062							0.062							0.062							0.062							0.062							0.062							0.062						
CPI-SS079DDF890	TNFSF12_TNFRSF25	simple:O43508	simple:Q93038	ENSG00000239697	ENSG00000215788	True	False	True	I2D	False	0.143																																				0.0	0.0	0.001	0.0	0.0	0.0	0.0							
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	ENSG00000125538	ENSG00000169252	True	False	True	I2D	False	0.143						0.001							0.001							0.001							0.001							0.001							0.001							0.001	
CPI-SS0BCCDFA7A	NAMPT_IL13RA2	simple:P43490	simple:Q14627	ENSG00000105835	ENSG00000123496	True	False	True	InnateDB-All	False	0.143																													0.009	0.009	0.009	0.009	0.009	0.009	0.009														
CPI-SS06006F870	TTR_AGER	simple:P02766	simple:Q15109	ENSG00000118271	ENSG00000204305	True	False	True	I2D,IMEx,InnateDB-All,MINT	False	0.143	0.052	0.052	0.052	0.053	0.052	0.053	0.052																																										
CPI-SS00D3CD86E	TTR_DDR1	simple:P02766	simple:Q08345	ENSG00000118271	ENSG00000204580	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.143	0.056	0.055	0.055	0.055	0.057	0.06	0.051																																										
CPI-CS0BCDC40FC	BMR1A_AVR2B_BMP4	complex:BMR1A_AVR2B	simple:P12644		ENSG00000125378	True	True	False	curated	False	0.143					0.001		0.001					0.001		0.001																			0.001							0.001		0.001							
CPI-SS0C85BC9AF	PROS1_AXL	simple:P07225	simple:P30530	ENSG00000184500	ENSG00000167601	True	False	True	guidetopharmacology.org	False	0.143														0.01							0.01														0.01						0.001	0.01						0.002	0.011
CPI-SS090FC28E1	EPHB6_EFNB2	simple:O15197	simple:P52799	ENSG00000106123	ENSG00000125266	True	True	True	curated	False	0.143																													0.001	0.001	0.001	0.001	0.002	0.001	0.002														
CPI-SS0273C9AED	KDR_VEGFC	simple:P35968	simple:P49767	ENSG00000128052	ENSG00000150630	True	True	False	curated	False	0.143																																											0.003	0.003	0.003	0.003	0.003	0.003	0.003
CPI-SS0F6A7A4DF	FGF18_FGFR2	simple:O76093	simple:P21802	ENSG00000156427	ENSG00000066468	True	False	True	I2D	False	0.143					0.002							0.002							0.002							0.002							0.002							0.002							0.002		
CPI-SS02FEAF02E	FGF5_FGFR2	simple:P12034	simple:P21802	ENSG00000138675	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.143					0.002							0.002							0.002							0.002							0.002							0.002							0.002		
CPI-SS0FC42EC80	EREG_ERBB4	simple:O14944	simple:Q15303	ENSG00000124882	ENSG00000178568	True	False	True	curated	False	0.143			0.003							0.003							0.003							0.003							0.003							0.003							0.003				
CPI-SS0AECC113F	FGF10_FGFR2	simple:O15520	simple:P21802	ENSG00000070193	ENSG00000066468	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.143					0.002							0.002							0.002							0.002							0.002							0.002							0.002		
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	ENSG00000107562	ENSG00000121966	True	False	True	curated	False	0.143																						0.002	0.002	0.002	0.002	0.002	0.002	0.004																					
CPI-SS0B337B316	TEK_ANGPT1	simple:Q02763	simple:Q15389	ENSG00000120156	ENSG00000154188	True	True	False	curated	False	0.143							0.0							0.0							0.0														0.0							0.0					0.001		0.001
CPI-SS00BD8FF72	POMC_MC1R	simple:P01189	simple:Q01726	ENSG00000115138	ENSG00000258839	True	False	True	guidetopharmacology.org	False	0.143	0.0																																			0.001	0.001	0.001		0.001	0.001	0.001							
CPI-SS0BC9F7E9E	FGF17_FGFR3	simple:O60258	simple:P22607	ENSG00000158815	ENSG00000068078	True	False	True	I2D	False	0.143					0.001							0.001							0.001														0.001						0.0	0.001							0.001		
CPI-SC07ECBFCA7	COL1A1_a10b1 complex	simple:P02452	complex:a10b1 complex	ENSG00000108821		True	False	False	curated	True	0.143																																											0.022	0.022	0.022	0.022	0.022	0.022	0.022
CPI-SC054484F7B	COL3A1_a2b1 complex	simple:P02461	complex:a2b1 complex	ENSG00000168542		True	False	False	curated	True	0.143																																											0.021	0.02	0.02	0.025	0.027	0.021	0.024
CPI-SC067433F6B	COL3A1_a10b1 complex	simple:P02461	complex:a10b1 complex	ENSG00000168542		True	False	False	curated	True	0.143																																											0.02	0.02	0.019	0.02	0.02	0.02	0.02
CPI-SC0B6F1A278	COL4A1_a10b1 complex	simple:P02462	complex:a10b1 complex	ENSG00000187498		True	False	False	curated	True	0.143																																											0.017	0.017	0.017	0.017	0.017	0.017	0.017
CPI-SC08AA91C84	COL17A1_a1b1 complex	simple:Q9UMD9	complex:a1b1 complex	ENSG00000065618		True	False	False	curated	True	0.143							0.012							0.012							0.012							0.012							0.012							0.012							0.012
CPI-SS0230EE330	NPPA_NPR2	simple:P01160	simple:P20594	ENSG00000175206	ENSG00000159899	True	False	True	I2D,InnateDB-All	False	0.143						0.001							0.001							0.001							0.001							0.001							0.001							0.001	
CPI-SC040B3EFBC	COL22A1_a1b1 complex	simple:Q8NFW1	complex:a1b1 complex	ENSG00000169436		True	False	False	curated	True	0.143							0.012							0.012							0.012							0.012							0.012							0.012							0.012
CPI-SS06908C6CC	INS_IDE	simple:P01308	simple:P14735	ENSG00000254647	ENSG00000119912	True	False	True	I2D,IMEx	False	0.143								0.04	0.04	0.04	0.041	0.041	0.039	0.04																																			
CPI-SS01A29DD97	GCG_IDE	simple:P01275	simple:P14735	ENSG00000115263	ENSG00000119912	True	False	True	IMEx	False	0.143	0.063	0.063	0.063	0.065	0.065	0.063	0.064																																										
CPI-SS0FC2B68F1	IAPP_IDE	simple:P10997	simple:P14735	ENSG00000121351	ENSG00000119912	True	False	True	IMEx	False	0.143								0.03	0.03	0.03	0.032	0.031	0.03	0.031																																			
CPI-SS042A6F835	IGF2_IGF2R	simple:P01344	simple:P11717	ENSG00000167244	ENSG00000197081	True	False	True	curated	False	0.143								0.004	0.004			0.005	0.005	0.005														0.004																			0.004		
CPI-SC0674C647E	COL4A3_a11b1 complex	simple:Q01955	complex:a11b1 complex	ENSG00000169031		True	False	False	curated	True	0.143							0.003							0.003							0.003							0.003							0.003							0.003							0.003
CPI-SC004A436C5	COL12A1_a1b1 complex	simple:Q99715	complex:a1b1 complex	ENSG00000111799		True	False	False	curated	True	0.143																																											0.004	0.004	0.003	0.003	0.004	0.005	0.015
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	ENSG00000204301	ENSG00000184916	False	True	False	curated	False	0.143																																											0.002	0.002	0.002	0.002	0.002	0.002	0.002
CPI-SC07FB88720	COL4A3_a1b1 complex	simple:Q01955	complex:a1b1 complex	ENSG00000169031		True	False	False	curated	True	0.143							0.012							0.012							0.012							0.012							0.012							0.012							0.012
CPI-SS02A0FF87F	FAM3C_CLEC2D	simple:Q92520	simple:Q9UHP7	ENSG00000196937	ENSG00000069493	True	False	True	IMEx,InnateDB-All,IntAct	False	0.143							0.001					0.001	0.001	0.001																			0.001		0.001							0.001							
CPI-SC091173D82	COL4A4_a1b1 complex	simple:P53420	complex:a1b1 complex	ENSG00000081052		True	False	False	curated	True	0.143							0.012							0.012							0.012							0.012							0.012							0.012							0.012
CPI-SC069F9E62C	COL28A1_a11b1 complex	simple:Q2UY09	complex:a11b1 complex	ENSG00000215018		True	False	False	curated	True	0.143							0.003							0.003							0.003							0.003							0.003							0.003							0.003
CPI-SS07155793F	ACKR3_CXCL12	simple:P25106	simple:P48061	ENSG00000144476	ENSG00000107562	True	True	False	guidetopharmacology.org	False	0.143				0.002							0.002							0.002							0.002							0.002							0.002							0.002			
CPI-SS05E4B1EBC	INS_INSR	simple:P01308	simple:P06213	ENSG00000254647	ENSG00000171105	True	False	True	curated	False	0.143								0.047	0.044	0.044	0.054	0.049	0.048	0.048																																			
CPI-SC06E5E0C83	COL11A1_a1b1 complex	simple:P12107	complex:a1b1 complex	ENSG00000060718		True	False	False	curated	True	0.143							0.012							0.012							0.012							0.012							0.012							0.012							0.012
CPI-SC0247375A7	COL17A1_a11b1 complex	simple:Q9UMD9	complex:a11b1 complex	ENSG00000065618		True	False	False	curated	True	0.143							0.003							0.003							0.003							0.003							0.003							0.003							0.003
CPI-SC0F590482E	COL9A2_a1b1 complex	simple:Q14055	complex:a1b1 complex	ENSG00000049089		True	False	False	curated	True	0.143							0.012							0.012							0.011														0.012						0.003	0.013							0.011
CPI-SC0FF018913	COL28A1_a1b1 complex	simple:Q2UY09	complex:a1b1 complex	ENSG00000215018		True	False	False	curated	True	0.143							0.012							0.012							0.012							0.012							0.012							0.012							0.012
CPI-SS04F3A1E5C	COPA_SORT1	simple:P53621	simple:Q99523	ENSG00000122218	ENSG00000134243	True	False	True	IMEx,InnateDB-All,IntAct,MatrixDB	False	0.143																											0.011										0.012				0.011		0.012	0.012	0.012		0.012		
CPI-SS0D22A09AD	NRP2_PGF	simple:O60462	simple:P49763	ENSG00000118257	ENSG00000119630	True	True	False	curated	False	0.143							0.002							0.001							0.002							0.001							0.001							0.001							0.007
CPI-SC02131C05A	COL12A1_a10b1 complex	simple:Q99715	complex:a10b1 complex	ENSG00000111799		True	False	False	curated	True	0.143																																											0.003	0.003	0.003	0.003	0.003	0.003	0.004
CPI-SS0E61DB5DF	FLT1_PGF	simple:P17948	simple:P49763	ENSG00000102755	ENSG00000119630	True	True	False	curated	False	0.143							0.001							0.001							0.001							0.001							0.001							0.001							0.005
CPI-SC0BCD683D4	COL22A1_a11b1 complex	simple:Q8NFW1	complex:a11b1 complex	ENSG00000169436		True	False	False	curated	True	0.163							0.003							0.003	0.0						0.003							0.003							0.003							0.003							0.003
CPI-SS099C401F7	ACVR2A_INHBE	simple:P27037	simple:P58166	ENSG00000121989	ENSG00000139269	True	True	False	curated	False	0.163								0.003	0.003	0.003		0.003		0.003																0.003					0.003														0.003
CPI-CS0E997FABD	BMR1B_AVR2B_BMP4	complex:BMR1B_AVR2B	simple:P12644		ENSG00000125378	True	True	False	curated	False	0.163					0.0							0.0																					0.001		0.001					0.001		0.001					0.002		0.002
CPI-CS02957B1BF	BMR1B_AVR2A_BMP4	complex:BMR1B_AVR2A	simple:P12644		ENSG00000125378	True	True	False	curated	False	0.163					0.0							0.0																					0.001		0.001					0.001		0.001					0.002		0.002
CPI-SC08BF895FC	COL13A1_a1b1 complex	simple:Q5TAT6	complex:a1b1 complex	ENSG00000197467		False	False	False	curated	True	0.163							0.012							0.012							0.012														0.012							0.012	0.002					0.003	0.013
CPI-CS0107C51C6	BMPR1B_BMPR2_BMP4	complex:BMPR1B_BMPR2	simple:P12644		ENSG00000125378	True	True	False	curated	False	0.163					0.0							0.0																					0.001		0.001					0.001		0.001					0.002		0.002
CPI-SS0B537DD3F	CEACAM5_CEACAM1	simple:P06731	simple:P13688	ENSG00000105388	ENSG00000079385	True	False	False	curated	False	0.163	0.002							0.002							0.002							0.002							0.002		0.002					0.002							0.002						
CPI-SS0BEAB521F	EPHA3_EFNA5	simple:P29320	simple:P52803	ENSG00000044524	ENSG00000184349	True	True	False	curated	False	0.163		0.01							0.01							0.01														0.01							0.01							0.011	0.01			0.008	
CPI-SS08C78576B	GPHA2_EPHA6	simple:Q96T91	simple:Q9UF33	ENSG00000149735	ENSG00000080224	True	False	True	InnateDB-All	False	0.163			0.0							0.0							0.0					0.0		0.0					0.0		0.0							0.0											
CPI-SC0F7E26271	COL1A1_a11b1 complex	simple:P02452	complex:a11b1 complex	ENSG00000108821		True	False	False	curated	True	0.163																												0.003							0.003								0.022	0.022	0.022		0.022	0.022	0.025
CPI-SS00E68BB92	FGF7_FGFR3	simple:P21781	simple:P22607	ENSG00000140285	ENSG00000068078	True	False	True	I2D	False	0.163					0.001							0.001							0.001							0.001							0.001							0.001						0.001	0.001		
CPI-SS055B305F1	CEACAM1_CD209	simple:P13688	simple:Q9NNX6	ENSG00000079385	ENSG00000090659	True	False	True	curated	False	0.163	0.002	0.002	0.002	0.002	0.002	0.002	0.002										0.002																																
CPI-SS076D8A297	FGF5_FGFR3	simple:P12034	simple:P22607	ENSG00000138675	ENSG00000068078	True	False	True	I2D	False	0.163					0.001							0.001							0.001							0.001							0.001							0.001						0.0	0.001		
CPI-SS0E134097C	FGF18_FGFR3	simple:O76093	simple:P22607	ENSG00000156427	ENSG00000068078	True	False	True	I2D	False	0.163					0.001							0.001							0.001							0.001						0.0	0.001							0.001							0.001		
CPI-SS061A7E099	CD55_ADGRE5	simple:P08174	simple:P48960	ENSG00000196352	ENSG00000123146	True	True	True	curated	False	0.163				0.005	0.005		0.004																									0.005	0.004						0.006	0.005		0.005							
CPI-SS0BF490275	FGFR1_KL	simple:P11362	simple:Q9UEF7	ENSG00000077782	ENSG00000133116	True	True	False	I2D	False	0.163	0.007					0.007																														0.012	0.011	0.011		0.011	0.012	0.011							
CPI-CS0AEE2FB22	ACVR1_BMPR2_BMP8A	complex:ACVR1_BMPR2	simple:Q7Z5Y6		ENSG00000183682	True	True	False	curated	False	0.163																													0.002	0.002	0.002	0.002	0.002	0.002	0.002														0.003
CPI-SS0F0D7F25C	BTC_ERBB4	simple:P35070	simple:Q15303	ENSG00000174808	ENSG00000178568	True	False	True	curated	False	0.163			0.004							0.004							0.004							0.004														0.004							0.004		0.001	0.001	
CPI-SS0D5E30C6C	NRG3_ERBB4	simple:P56975	simple:Q15303	ENSG00000185737	ENSG00000178568	True	False	True	curated	False	0.163			0.003							0.003							0.003							0.003					0.001		0.004							0.003							0.003				
CPI-SS0BF3ED143	FGFR2_FGFR3	simple:P21802	simple:P22607	ENSG00000066468	ENSG00000068078	True	True	True	IMEx,InnateDB-All	False	0.163					0.001							0.001							0.001							0.001						0.002	0.002							0.001							0.001		
CPI-SC0CE851065	COL6A2_a10b1 complex	simple:P12110	complex:a10b1 complex	ENSG00000142173		True	False	False	curated	True	0.163																																										0.001	0.006	0.006	0.006	0.006	0.006	0.007	0.007
CPI-CS0CE2A204A	ACVR_1A2A receptor_BMP8A	complex:ACVR_1A2A receptor	simple:Q7Z5Y6		ENSG00000183682	True	True	False	curated	False	0.163																													0.002	0.002	0.002	0.002	0.002	0.002	0.002														0.003
CPI-SS0EB3C2743	GHSR_LEAP2	simple:Q92847	simple:Q969E1	ENSG00000121853	ENSG00000164406	True	True	False	guidetopharmacology.org	False	0.163															0.002	0.002	0.002	0.002	0.002	0.002	0.002																		0.001										
CPI-SS01469637C	WNT2B_FZD4	simple:Q93097	simple:Q9ULV1	ENSG00000134245	ENSG00000174804	True	False	True	curated	False	0.163		0.002					0.003							0.003							0.003							0.003							0.003							0.003							0.003
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	ENSG00000184349	ENSG00000116106	False	False	True	curated	False	0.163								0.011	0.01	0.01		0.01	0.01	0.011	0.009						0.01																												
CPI-SS0816A4ED4	FGFR4_EPHA4	simple:P22455	simple:P54764	ENSG00000160867	ENSG00000116106	True	True	True	I2D,InnateDB-All	False	0.163	0.001						0.002																						0.002	0.002	0.002		0.002	0.002	0.003														
CPI-SC0A9EB628A	VCAM1_a4b1 complex	simple:P19320	complex:a4b1 complex	ENSG00000162692		False	False	False	curated	True	0.163																													0.005	0.005	0.005	0.005	0.005	0.005	0.005														0.001
CPI-SS079728E8B	ADORA2B_ENTPD1	simple:P29275	simple:P49961	ENSG00000170425	ENSG00000138185	False	True	False	curated	False	0.163			0.001														0.001							0.002					0.001	0.001	0.002				0.002										0.001				
CPI-SC0A54B5323	COL6A2_a11b1 complex	simple:P12110	complex:a11b1 complex	ENSG00000142173		True	False	False	curated	True	0.163																					0.003																					0.003	0.006	0.006	0.006		0.006	0.006	0.009
CPI-CS0C9EE65C2	FcRn complex_ALB	complex:FcRn complex	simple:P02768		ENSG00000163631	True	True	False	curated	False	0.163			0.002	0.013							0.012							0.012							0.013							0.012							0.011							0.012			
CPI-SS00581282E	C5_C5AR1	simple:P01031	simple:P21730	ENSG00000106804	ENSG00000197405	True	False	True	guidetopharmacology.org	False	0.163			0.001							0.001													0.001	0.001				0.001			0.001							0.001							0.001				
CPI-SS02E314589	FGFR2_NECTIN1	simple:P21802	simple:Q15223	ENSG00000066468	ENSG00000110400	True	True	True	InnateDB-All	False	0.163						0.001							0.001							0.001									0.003	0.003	0.002		0.002	0.003															
CPI-SS0098B5107	ADCYAP1_SCTR	simple:P18509	simple:P47872	ENSG00000141433	ENSG00000080293	True	False	True	I2D,InnateDB-All	False	0.163								0.011	0.011	0.012	0.013	0.014	0.011	0.011																										0.005									
CPI-SS0CC898553	FGFR2_PTPRR	simple:P21802	simple:Q15256	ENSG00000066468	ENSG00000153233	True	True	True	InnateDB-All	False	0.184							0.0					0.0		0.0															0.002	0.002	0.002		0.002	0.002	0.002														
CPI-SS0D636A374	FGF2_FGFR3	simple:P09038	simple:P22607	ENSG00000138685	ENSG00000068078	True	False	True	curated	False	0.184					0.001							0.001							0.001							0.001						0.001	0.001							0.001						0.001	0.002		
CPI-SC01115AAD1	COL10A1_a1b1 complex	simple:Q03692	complex:a1b1 complex	ENSG00000123500		True	False	False	curated	True	0.184							0.012							0.012							0.012							0.012							0.012							0.012	0.002					0.002	0.012
CPI-SS0D00AAD2F	SEMA5A_PLXNB3	simple:Q13591	simple:Q9ULL4	ENSG00000112902	ENSG00000198753	False	False	True	curated	False	0.184	0.005				0.006	0.005		0.006	0.006	0.006		0.006	0.006	0.006																																			
CPI-SS044CF7EAE	TNFRSF10A_FGFR4	simple:O00220	simple:P22455	ENSG00000104689	ENSG00000160867	True	True	True	InnateDB-All	False	0.184																										0.002			0.003	0.002	0.002	0.003	0.004	0.002	0.002												0.002		
CPI-SS02371A6D6	VEGFA_EPHB2	simple:P15692	simple:P29323	ENSG00000112715	ENSG00000133216	True	False	True	I2D	False	0.184					0.005			0.006	0.006	0.006	0.006	0.008	0.006	0.006												0.005																							
CPI-SC0F73E9099	COL1A1_a1b1 complex	simple:P02452	complex:a1b1 complex	ENSG00000108821		True	False	False	curated	True	0.184																												0.012							0.012								0.023	0.022	0.022	0.022	0.022	0.023	0.033
CPI-SS0F1A060D4	PVR_NECTIN3	simple:P15151	simple:Q9NQS3	ENSG00000073008	ENSG00000177707	True	True	False	curated	False	0.184		0.005	0.004						0.005							0.005							0.004							0.005							0.006	0.004						0.005					
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	ENSG00000110400	ENSG00000177707	True	True	False	curated	False	0.184		0.005	0.003						0.005							0.005							0.004							0.005							0.006	0.004						0.004					
CPI-SS058E608D0	PTHLH_PRLHR	simple:P12272	simple:P49683	ENSG00000087494	ENSG00000119973	True	False	True	guidetopharmacology.org	False	0.184	0.0																					0.001	0.001	0.001		0.001		0.001	0.0	0.0													0.0						
CPI-SS070B0E458	GRIN2A_IL16	simple:Q12879	simple:Q14005	ENSG00000183454	ENSG00000172349	True	True	False	I2D	False	0.184			0.0					0.0	0.0	0.001		0.0	0.0	0.001																	0.001				0.0														
CPI-SS0D782F60B	WNT4_FZD8	simple:P56705	simple:Q9H461	ENSG00000162552	ENSG00000177283	True	False	True	I2D	False	0.184				0.003	0.003			0.004	0.004	0.004	0.004	0.004	0.004	0.004																																			
